Soru No,Soru,Cevap,Doğru Cevap
7,Makine hangi değerlerde kırmızı alarma geçiyor söyler misin?,14+ mm/s,
7,Makine hangi değerlerde kırmızı alarma geçiyor belirtir misin?,14+ mm/s,
7,Makine hangi değerlerde kırmızı alarma geçiyor açıklayabilir misin?,14+ mm/s,
7,Makine hangi değerlerde kırmızı alarma geçiyor paylaşır mısın?,14+ mm/s,
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı verebilir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı söyler misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı belirtir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı açıklayabilir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı paylaşır mısın?,"min=0.00, max=241.18, ort=2.95 mm/s",
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi verebilir misin?,Green,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi söyler misin?,Green,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi belirtir misin?,Green,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi açıklayabilir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi paylaşır mısın?,"min=0.00, max=241.18, ort=2.95 mm/s",
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim verebilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim söyler misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim belirtir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim açıklayabilir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim paylaşır mısın?,"min=0.00, max=241.18, ort=2.95 mm/s",
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı verebilir misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı söyler misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı belirtir misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı açıklayabilir misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı paylaşır mısın?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
12,2023 yılında makine performansı nasıldı verebilir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
12,2023 yılında makine performansı nasıldı söyler misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
12,2023 yılında makine performansı nasıldı belirtir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
12,2023 yılında makine performansı nasıldı açıklayabilir misin?,"min=0.00, max=241.18, ort=2.95 mm/s",
12,2023 yılında makine performansı nasıldı paylaşır mısın?,"min=0.00, max=241.18, ort=2.95 mm/s",
13,Son bir yıl içinde makine hangi günlerde tamamen durdu verebilir misin?,2023-05-24,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu söyler misin?,2023-05-24,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu belirtir misin?,2023-05-24,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu açıklayabilir misin?,2023-05-24,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu paylaşır mısın?,2023-05-24,
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu verebilir misin?,"2023-05-02, 2023-05-03",
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu söyler misin?,"2023-05-02, 2023-05-03",
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu belirtir misin?,"2023-05-02, 2023-05-03",
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu açıklayabilir misin?,"2023-05-02, 2023-05-03",
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu paylaşır mısın?,"2023-05-02, 2023-05-03",
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir verebilir misin?,12316.93 saat (739016 dakika),
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir söyler misin?,12316.93 saat (739016 dakika),
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir belirtir misin?,12316.93 saat (739016 dakika),
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir açıklayabilir misin?,12316.93 saat (739016 dakika),
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir paylaşır mısın?,12316.93 saat (739016 dakika),
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,Veri aralığı: 2023-01-18–2023-12-23.,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,Veri aralığı: 2023-01-18–2023-12-23.,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,Veri aralığı: 2023-01-18–2023-12-23.,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,Veri aralığı: 2023-01-18–2023-12-23.,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,Veri aralığı: 2023-01-18–2023-12-23.,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,Veri aralığı: 2023-01-18–2023-12-23.,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,Veri aralığı: 2023-01-18–2023-12-23.,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,Veri aralığı: 2023-01-18–2023-12-23.,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,Veri aralığı: 2023-01-18–2023-12-23.,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu verebilir misin?,0,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu söyler misin?,0,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu belirtir misin?,0,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu açıklayabilir misin?,0,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu paylaşır mısın?,0,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi verebilir misin?,"2023-02-03, 2023-02-04, 2023-02-05, 2023-02-06, 2023-02-07, 2023-02-08, 2023-02-09, 2023-02-10, 2023-02-11, 2023-02-12, 2023-02-13, 2023-02-14, 2023-02-15, 2023-02-16, 2023-02-17, 2023-02-19, 2023-02-22, 2023-02-23, 2023-02-25, 2023-03-01, 2023-03-02, 2023-03-03, 2023-03-04, 2023-03-05, 2023-03-06, 2023-03-07, 2023-03-09, 2023-03-10, 2023-03-11, 2023-03-12, 2023-03-13, 2023-03-14, 2023-03-15, 2023-03-16, 2023-03-17, 2023-03-18, 2023-03-19, 2023-03-20, 2023-03-21, 2023-03-22, 2023-03-23, 2023-03-24, 2023-03-29, 2023-03-30, 2023-03-31, 2023-04-03, 2023-04-04, 2023-04-05, 2023-04-06, 2023-04-07, 2023-04-08, 2023-04-09, 2023-04-10, 2023-04-18, 2023-04-19, 2023-04-20, 2023-05-05, 2023-05-10, 2023-05-13, 2023-05-15, 2023-05-16, 2023-05-17, 2023-05-18, 2023-05-19, 2023-05-20, 2023-05-23, 2023-05-24, 2023-05-25, 2023-05-26, 2023-05-27, 2023-05-28, 2023-05-29, 2023-05-30, 2023-05-31, 2023-06-02, 2023-06-03, 2023-06-04, 2023-06-05, 2023-06-06, 2023-06-07, 2023-06-08, 2023-06-12, 2023-06-13, 2023-06-14, 2023-06-19, 2023-06-20, 2023-06-21, 2023-06-22, 2023-06-23, 2023-06-24, 2023-06-25, 2023-06-26, 2023-06-27, 2023-06-28, 2023-06-29, 2023-07-04, 2023-07-05, 2023-07-06, 2023-07-07, 2023-07-08, 2023-07-09, 2023-07-10, 2023-07-11, 2023-07-12, 2023-07-13, 2023-07-14, 2023-07-17, 2023-07-19, 2023-07-21, 2023-07-22, 2023-07-23, 2023-07-28, 2023-07-29, 2023-08-01, 2023-08-02, 2023-08-03, 2023-08-04, 2023-08-05, 2023-08-06, 2023-08-07, 2023-08-08, 2023-08-09, 2023-08-10, 2023-08-11, 2023-08-12, 2023-08-13, 2023-08-14, 2023-08-15, 2023-08-16, 2023-08-17, 2023-08-18, 2023-08-19, 2023-08-20, 2023-08-21, 2023-08-22, 2023-08-23, 2023-08-24, 2023-08-25, 2023-08-26, 2023-08-27, 2023-08-28, 2023-08-29, 2023-08-30, 2023-08-31, 2023-09-01, 2023-09-02, 2023-09-03, 2023-09-04, 2023-09-05, 2023-09-06, 2023-09-07, 2023-09-08, 2023-09-09, 2023-09-10, 2023-09-11, 2023-09-12, 2023-09-13, 2023-09-14, 2023-09-15, 2023-09-16, 2023-09-17, 2023-09-18, 2023-09-19, 2023-09-20, 2023-09-21, 2023-09-22, 2023-09-23, 2023-09-24, 2023-09-25, 2023-09-26, 2023-09-27, 2023-09-28, 2023-09-29, 2023-10-13, 2023-10-22, 2023-10-23, 2023-10-24, 2023-10-25, 2023-10-26, 2023-10-27, 2023-10-31, 2023-11-01, 2023-11-02, 2023-11-03, 2023-11-04, 2023-11-05, 2023-11-06, 2023-11-07, 2023-11-08, 2023-11-09, 2023-11-13, 2023-11-14, 2023-11-15, 2023-11-17, 2023-11-18, 2023-11-23, 2023-11-24",
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi söyler misin?,"2023-02-03, 2023-02-04, 2023-02-05, 2023-02-06, 2023-02-07, 2023-02-08, 2023-02-09, 2023-02-10, 2023-02-11, 2023-02-12, 2023-02-13, 2023-02-14, 2023-02-15, 2023-02-16, 2023-02-17, 2023-02-19, 2023-02-22, 2023-02-23, 2023-02-25, 2023-03-01, 2023-03-02, 2023-03-03, 2023-03-04, 2023-03-05, 2023-03-06, 2023-03-07, 2023-03-09, 2023-03-10, 2023-03-11, 2023-03-12, 2023-03-13, 2023-03-14, 2023-03-15, 2023-03-16, 2023-03-17, 2023-03-18, 2023-03-19, 2023-03-20, 2023-03-21, 2023-03-22, 2023-03-23, 2023-03-24, 2023-03-29, 2023-03-30, 2023-03-31, 2023-04-03, 2023-04-04, 2023-04-05, 2023-04-06, 2023-04-07, 2023-04-08, 2023-04-09, 2023-04-10, 2023-04-18, 2023-04-19, 2023-04-20, 2023-05-05, 2023-05-10, 2023-05-13, 2023-05-15, 2023-05-16, 2023-05-17, 2023-05-18, 2023-05-19, 2023-05-20, 2023-05-23, 2023-05-24, 2023-05-25, 2023-05-26, 2023-05-27, 2023-05-28, 2023-05-29, 2023-05-30, 2023-05-31, 2023-06-02, 2023-06-03, 2023-06-04, 2023-06-05, 2023-06-06, 2023-06-07, 2023-06-08, 2023-06-12, 2023-06-13, 2023-06-14, 2023-06-19, 2023-06-20, 2023-06-21, 2023-06-22, 2023-06-23, 2023-06-24, 2023-06-25, 2023-06-26, 2023-06-27, 2023-06-28, 2023-06-29, 2023-07-04, 2023-07-05, 2023-07-06, 2023-07-07, 2023-07-08, 2023-07-09, 2023-07-10, 2023-07-11, 2023-07-12, 2023-07-13, 2023-07-14, 2023-07-17, 2023-07-19, 2023-07-21, 2023-07-22, 2023-07-23, 2023-07-28, 2023-07-29, 2023-08-01, 2023-08-02, 2023-08-03, 2023-08-04, 2023-08-05, 2023-08-06, 2023-08-07, 2023-08-08, 2023-08-09, 2023-08-10, 2023-08-11, 2023-08-12, 2023-08-13, 2023-08-14, 2023-08-15, 2023-08-16, 2023-08-17, 2023-08-18, 2023-08-19, 2023-08-20, 2023-08-21, 2023-08-22, 2023-08-23, 2023-08-24, 2023-08-25, 2023-08-26, 2023-08-27, 2023-08-28, 2023-08-29, 2023-08-30, 2023-08-31, 2023-09-01, 2023-09-02, 2023-09-03, 2023-09-04, 2023-09-05, 2023-09-06, 2023-09-07, 2023-09-08, 2023-09-09, 2023-09-10, 2023-09-11, 2023-09-12, 2023-09-13, 2023-09-14, 2023-09-15, 2023-09-16, 2023-09-17, 2023-09-18, 2023-09-19, 2023-09-20, 2023-09-21, 2023-09-22, 2023-09-23, 2023-09-24, 2023-09-25, 2023-09-26, 2023-09-27, 2023-09-28, 2023-09-29, 2023-10-13, 2023-10-22, 2023-10-23, 2023-10-24, 2023-10-25, 2023-10-26, 2023-10-27, 2023-10-31, 2023-11-01, 2023-11-02, 2023-11-03, 2023-11-04, 2023-11-05, 2023-11-06, 2023-11-07, 2023-11-08, 2023-11-09, 2023-11-13, 2023-11-14, 2023-11-15, 2023-11-17, 2023-11-18, 2023-11-23, 2023-11-24",
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi belirtir misin?,"2023-02-03, 2023-02-04, 2023-02-05, 2023-02-06, 2023-02-07, 2023-02-08, 2023-02-09, 2023-02-10, 2023-02-11, 2023-02-12, 2023-02-13, 2023-02-14, 2023-02-15, 2023-02-16, 2023-02-17, 2023-02-19, 2023-02-22, 2023-02-23, 2023-02-25, 2023-03-01, 2023-03-02, 2023-03-03, 2023-03-04, 2023-03-05, 2023-03-06, 2023-03-07, 2023-03-09, 2023-03-10, 2023-03-11, 2023-03-12, 2023-03-13, 2023-03-14, 2023-03-15, 2023-03-16, 2023-03-17, 2023-03-18, 2023-03-19, 2023-03-20, 2023-03-21, 2023-03-22, 2023-03-23, 2023-03-24, 2023-03-29, 2023-03-30, 2023-03-31, 2023-04-03, 2023-04-04, 2023-04-05, 2023-04-06, 2023-04-07, 2023-04-08, 2023-04-09, 2023-04-10, 2023-04-18, 2023-04-19, 2023-04-20, 2023-05-05, 2023-05-10, 2023-05-13, 2023-05-15, 2023-05-16, 2023-05-17, 2023-05-18, 2023-05-19, 2023-05-20, 2023-05-23, 2023-05-24, 2023-05-25, 2023-05-26, 2023-05-27, 2023-05-28, 2023-05-29, 2023-05-30, 2023-05-31, 2023-06-02, 2023-06-03, 2023-06-04, 2023-06-05, 2023-06-06, 2023-06-07, 2023-06-08, 2023-06-12, 2023-06-13, 2023-06-14, 2023-06-19, 2023-06-20, 2023-06-21, 2023-06-22, 2023-06-23, 2023-06-24, 2023-06-25, 2023-06-26, 2023-06-27, 2023-06-28, 2023-06-29, 2023-07-04, 2023-07-05, 2023-07-06, 2023-07-07, 2023-07-08, 2023-07-09, 2023-07-10, 2023-07-11, 2023-07-12, 2023-07-13, 2023-07-14, 2023-07-17, 2023-07-19, 2023-07-21, 2023-07-22, 2023-07-23, 2023-07-28, 2023-07-29, 2023-08-01, 2023-08-02, 2023-08-03, 2023-08-04, 2023-08-05, 2023-08-06, 2023-08-07, 2023-08-08, 2023-08-09, 2023-08-10, 2023-08-11, 2023-08-12, 2023-08-13, 2023-08-14, 2023-08-15, 2023-08-16, 2023-08-17, 2023-08-18, 2023-08-19, 2023-08-20, 2023-08-21, 2023-08-22, 2023-08-23, 2023-08-24, 2023-08-25, 2023-08-26, 2023-08-27, 2023-08-28, 2023-08-29, 2023-08-30, 2023-08-31, 2023-09-01, 2023-09-02, 2023-09-03, 2023-09-04, 2023-09-05, 2023-09-06, 2023-09-07, 2023-09-08, 2023-09-09, 2023-09-10, 2023-09-11, 2023-09-12, 2023-09-13, 2023-09-14, 2023-09-15, 2023-09-16, 2023-09-17, 2023-09-18, 2023-09-19, 2023-09-20, 2023-09-21, 2023-09-22, 2023-09-23, 2023-09-24, 2023-09-25, 2023-09-26, 2023-09-27, 2023-09-28, 2023-09-29, 2023-10-13, 2023-10-22, 2023-10-23, 2023-10-24, 2023-10-25, 2023-10-26, 2023-10-27, 2023-10-31, 2023-11-01, 2023-11-02, 2023-11-03, 2023-11-04, 2023-11-05, 2023-11-06, 2023-11-07, 2023-11-08, 2023-11-09, 2023-11-13, 2023-11-14, 2023-11-15, 2023-11-17, 2023-11-18, 2023-11-23, 2023-11-24",
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi açıklayabilir misin?,"2023-02-03, 2023-02-04, 2023-02-05, 2023-02-06, 2023-02-07, 2023-02-08, 2023-02-09, 2023-02-10, 2023-02-11, 2023-02-12, 2023-02-13, 2023-02-14, 2023-02-15, 2023-02-16, 2023-02-17, 2023-02-19, 2023-02-22, 2023-02-23, 2023-02-25, 2023-03-01, 2023-03-02, 2023-03-03, 2023-03-04, 2023-03-05, 2023-03-06, 2023-03-07, 2023-03-09, 2023-03-10, 2023-03-11, 2023-03-12, 2023-03-13, 2023-03-14, 2023-03-15, 2023-03-16, 2023-03-17, 2023-03-18, 2023-03-19, 2023-03-20, 2023-03-21, 2023-03-22, 2023-03-23, 2023-03-24, 2023-03-29, 2023-03-30, 2023-03-31, 2023-04-03, 2023-04-04, 2023-04-05, 2023-04-06, 2023-04-07, 2023-04-08, 2023-04-09, 2023-04-10, 2023-04-18, 2023-04-19, 2023-04-20, 2023-05-05, 2023-05-10, 2023-05-13, 2023-05-15, 2023-05-16, 2023-05-17, 2023-05-18, 2023-05-19, 2023-05-20, 2023-05-23, 2023-05-24, 2023-05-25, 2023-05-26, 2023-05-27, 2023-05-28, 2023-05-29, 2023-05-30, 2023-05-31, 2023-06-02, 2023-06-03, 2023-06-04, 2023-06-05, 2023-06-06, 2023-06-07, 2023-06-08, 2023-06-12, 2023-06-13, 2023-06-14, 2023-06-19, 2023-06-20, 2023-06-21, 2023-06-22, 2023-06-23, 2023-06-24, 2023-06-25, 2023-06-26, 2023-06-27, 2023-06-28, 2023-06-29, 2023-07-04, 2023-07-05, 2023-07-06, 2023-07-07, 2023-07-08, 2023-07-09, 2023-07-10, 2023-07-11, 2023-07-12, 2023-07-13, 2023-07-14, 2023-07-17, 2023-07-19, 2023-07-21, 2023-07-22, 2023-07-23, 2023-07-28, 2023-07-29, 2023-08-01, 2023-08-02, 2023-08-03, 2023-08-04, 2023-08-05, 2023-08-06, 2023-08-07, 2023-08-08, 2023-08-09, 2023-08-10, 2023-08-11, 2023-08-12, 2023-08-13, 2023-08-14, 2023-08-15, 2023-08-16, 2023-08-17, 2023-08-18, 2023-08-19, 2023-08-20, 2023-08-21, 2023-08-22, 2023-08-23, 2023-08-24, 2023-08-25, 2023-08-26, 2023-08-27, 2023-08-28, 2023-08-29, 2023-08-30, 2023-08-31, 2023-09-01, 2023-09-02, 2023-09-03, 2023-09-04, 2023-09-05, 2023-09-06, 2023-09-07, 2023-09-08, 2023-09-09, 2023-09-10, 2023-09-11, 2023-09-12, 2023-09-13, 2023-09-14, 2023-09-15, 2023-09-16, 2023-09-17, 2023-09-18, 2023-09-19, 2023-09-20, 2023-09-21, 2023-09-22, 2023-09-23, 2023-09-24, 2023-09-25, 2023-09-26, 2023-09-27, 2023-09-28, 2023-09-29, 2023-10-13, 2023-10-22, 2023-10-23, 2023-10-24, 2023-10-25, 2023-10-26, 2023-10-27, 2023-10-31, 2023-11-01, 2023-11-02, 2023-11-03, 2023-11-04, 2023-11-05, 2023-11-06, 2023-11-07, 2023-11-08, 2023-11-09, 2023-11-13, 2023-11-14, 2023-11-15, 2023-11-17, 2023-11-18, 2023-11-23, 2023-11-24",
