Soru No,Soru,Cevap,Doğru Cevap
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,61,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,61,evet
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,61,evet
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,61,evet
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,61,evet
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,6,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,6,evet
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,6,evet
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,6,evet
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,6,evet
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,88,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,88,evet
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,88,evet
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,88,evet
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,88,evet
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,3,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,3,evet
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,3,evet
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,3,evet
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,3,evet
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu verebilir misin?,0,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu söyler misin?,0,evet
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu belirtir misin?,0,evet
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu açıklayabilir misin?,0,evet
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu paylaşır mısın?,0,evet
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi verebilir misin?,2023-02-03,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi söyler misin?,2023-02-03,evet
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi belirtir misin?,2023-02-03,evet
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi açıklayabilir misin?,2023-02-03,evet
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi paylaşır mısın?,2023-02-03,evet
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi verebilir misin?",2023-05-03,
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi söyler misin?",2023-05-03,evet
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi belirtir misin?",2023-05-03,evet
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi açıklayabilir misin?",2023-05-03,evet
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi paylaşır mısın?",2023-05-03,evet
23,Makine performansının zaman içindeki değişimi ne şekildeydi verebilir misin?,Genel dalgalanma: 0.00–241.18 mm/s; ortalama 2.95,
23,Makine performansının zaman içindeki değişimi ne şekildeydi söyler misin?,Genel dalgalanma: 0.00–241.18 mm/s; ortalama 2.95,evet
23,Makine performansının zaman içindeki değişimi ne şekildeydi belirtir misin?,Genel dalgalanma: 0.00–241.18 mm/s; ortalama 2.95,evet
23,Makine performansının zaman içindeki değişimi ne şekildeydi açıklayabilir misin?,Genel dalgalanma: 0.00–241.18 mm/s; ortalama 2.95,evet
23,Makine performansının zaman içindeki değişimi ne şekildeydi paylaşır mısın?,Genel dalgalanma: 0.00–241.18 mm/s; ortalama 2.95,evet
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi verebilir misin?,"2023-04-27, 2023-04-28, 2023-10-10",
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi söyler misin?,"2023-04-27, 2023-04-28, 2023-10-10",evet
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi belirtir misin?,"2023-04-27, 2023-04-28, 2023-10-10",evet
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi açıklayabilir misin?,"2023-04-27, 2023-04-28, 2023-10-10",evet
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi paylaşır mısın?,"2023-04-27, 2023-04-28, 2023-10-10",evet
25,En düşük arıza oranı hangi dönemdeydi verebilir misin?,2023-02-03,
25,En düşük arıza oranı hangi dönemdeydi söyler misin?,2023-02-03,evet
25,En düşük arıza oranı hangi dönemdeydi belirtir misin?,2023-02-03,evet
25,En düşük arıza oranı hangi dönemdeydi açıklayabilir misin?,2023-02-03,evet
25,En düşük arıza oranı hangi dönemdeydi paylaşır mısın?,2023-02-03,evet
26,En fazla performans değişikliği hangi ayda yaşandı verebilir misin?,2023-05,
26,En fazla performans değişikliği hangi ayda yaşandı söyler misin?,2023-05,evet
26,En fazla performans değişikliği hangi ayda yaşandı belirtir misin?,2023-05,evet
26,En fazla performans değişikliği hangi ayda yaşandı açıklayabilir misin?,2023-05,evet
26,En fazla performans değişikliği hangi ayda yaşandı paylaşır mısın?,Genel dalgalanma: 0.00–241.18 mm/s; ortalama 2.95,hayır
27,Yıllık performans ortalaması nedir verebilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
27,Yıllık performans ortalaması nedir söyler misin?,2023:2.95,hayır
27,Yıllık performans ortalaması nedir belirtir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,evet
27,Yıllık performans ortalaması nedir açıklayabilir misin?,2023:2.95,hayır
27,Yıllık performans ortalaması nedir paylaşır mısın?,2023:2.95,hayır
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı verebilir misin?,0,
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı söyler misin?,0,evet
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı belirtir misin?,0,evet
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı açıklayabilir misin?,0,evet
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı paylaşır mısın?,0,evet
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin verebilir misin?,"Green, Orange, Red, Yellow",
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin söyler misin?,"Green, Orange, Red, Yellow",evet
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin belirtir misin?,"Green, Orange, Red, Yellow",evet
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin açıklayabilir misin?,"Green, Orange, Red, Yellow",evet
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin paylaşır mısın?,"Green, Orange, Red, Yellow",evet
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi verebilir misin?,Green: 0–2.8 mm/s; Yellow: 2.8–11.2 mm/s; Orange: 11.2–14 mm/s; Red: 14+ mm/s,
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi söyler misin?,Green: 0–2.8 mm/s; Yellow: 2.8–11.2 mm/s; Orange: 11.2–14 mm/s; Red: 14+ mm/s,evet
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi belirtir misin?,Green: 0–2.8 mm/s; Yellow: 2.8–11.2 mm/s; Orange: 11.2–14 mm/s; Red: 14+ mm/s,evet
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi açıklayabilir misin?,14+ mm/s,hayır
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi paylaşır mısın?,14+ mm/s,hayır
31,Makine iyileştirme önerileri verebilir misin?,Düzenli bakım ve sensör kalibrasyonu önerilir.,
31,Makine iyileştirme önerileri söyler misin?,Düzenli bakım ve sensör kalibrasyonu önerilir.,evet
31,Makine iyileştirme önerileri belirtir misin?,Düzenli bakım ve sensör kalibrasyonu önerilir.,evet
31,Makine iyileştirme önerileri açıklayabilir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",hayır
31,Makine iyileştirme önerileri paylaşır mısın?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",hayır
32,Makinenin performansını ne etkiliyor olabilir verebilir misin?,"Titreşim, fan yatak aşınması ve balans dengesizliği performansı etkileyebilir.",
32,Makinenin performansını ne etkiliyor olabilir söyler misin?,"Titreşim, fan yatak aşınması ve balans dengesizliği performansı etkileyebilir.",evet
32,Makinenin performansını ne etkiliyor olabilir belirtir misin?,"Titreşim, fan yatak aşınması ve balans dengesizliği performansı etkileyebilir.",evet
32,Makinenin performansını ne etkiliyor olabilir açıklayabilir misin?,"Titreşim, fan yatak aşınması ve balans dengesizliği performansı etkileyebilir.",evet
32,Makinenin performansını ne etkiliyor olabilir paylaşır mısın?,"Titreşim, fan yatak aşınması ve balans dengesizliği performansı etkileyebilir.",evet
