Soru No,Soru,Cevap,Doğru Cevap
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim söyler misin?,,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim belirtir misin?,,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim açıklayabilir misin?,,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim paylaşır mısın?,,
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı verebilir misin?,,
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı söyler misin?,,
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı belirtir misin?,,
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı açıklayabilir misin?,,
11,RTF makinesi hangi 01/06/2023–30/06/2023 aralığında turuncu alarm seviyesinde çalıştı paylaşır mısın?,,
12,2023 yılında makine performansı nasıldı verebilir misin?,,
12,2023 yılında makine performansı nasıldı söyler misin?,,
12,2023 yılında makine performansı nasıldı belirtir misin?,,
12,2023 yılında makine performansı nasıldı açıklayabilir misin?,,
12,2023 yılında makine performansı nasıldı paylaşır mısın?,,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu verebilir misin?,,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu söyler misin?,,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu belirtir misin?,,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu açıklayabilir misin?,,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu paylaşır mısın?,,
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu verebilir misin?,,
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu söyler misin?,,
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu belirtir misin?,,
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu açıklayabilir misin?,,
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu paylaşır mısın?,,
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir verebilir misin?,,
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir söyler misin?,,
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir belirtir misin?,,
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir açıklayabilir misin?,,
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir paylaşır mısın?,,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,,
16,Son üç ay içinde sarı alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,,
17,Son üç ay içinde turuncu alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,,
18,Son üç ay içinde yeşil alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir verebilir misin?,,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir söyler misin?,,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir belirtir misin?,,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir açıklayabilir misin?,,
19,Son üç ay içinde kırmızı alarm seviyesinde çalışılan toplam gün sayısı nedir paylaşır mısın?,,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu verebilir misin?,,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu söyler misin?,,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu belirtir misin?,,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu açıklayabilir misin?,,
20,Yeşil aralıktan direkt olarak kırmızıya geçiş yapan tarihler mevcut mu paylaşır mısın?,,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi verebilir misin?,,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi söyler misin?,,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi belirtir misin?,,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi açıklayabilir misin?,,
21,Hangi tarihlerde renk aralıklarının daha düzenli olduğu gözlemlendi paylaşır mısın?,,
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi verebilir misin?",,
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi söyler misin?",,
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi belirtir misin?",,
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi açıklayabilir misin?",,
22,"Makine, son bir yıl içinde hangi aylarda daha çok yeşil alarm seviyesindeydi paylaşır mısın?",,
23,Makine performansının zaman içindeki değişimi ne şekildeydi verebilir misin?,,
23,Makine performansının zaman içindeki değişimi ne şekildeydi söyler misin?,,
23,Makine performansının zaman içindeki değişimi ne şekildeydi belirtir misin?,,
23,Makine performansının zaman içindeki değişimi ne şekildeydi açıklayabilir misin?,,
23,Makine performansının zaman içindeki değişimi ne şekildeydi paylaşır mısın?,,
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi verebilir misin?,,
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi söyler misin?,,
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi belirtir misin?,,
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi açıklayabilir misin?,,
24,Renk değişimlerinin yoğun olduğu dönemler hangi tarihlerdeydi paylaşır mısın?,,
25,En düşük arıza oranı hangi dönemdeydi verebilir misin?,,
25,En düşük arıza oranı hangi dönemdeydi söyler misin?,,
25,En düşük arıza oranı hangi dönemdeydi belirtir misin?,,
25,En düşük arıza oranı hangi dönemdeydi açıklayabilir misin?,,
25,En düşük arıza oranı hangi dönemdeydi paylaşır mısın?,,
26,En fazla performans değişikliği hangi ayda yaşandı verebilir misin?,,
26,En fazla performans değişikliği hangi ayda yaşandı söyler misin?,,
26,En fazla performans değişikliği hangi ayda yaşandı belirtir misin?,,
26,En fazla performans değişikliği hangi ayda yaşandı açıklayabilir misin?,,
26,En fazla performans değişikliği hangi ayda yaşandı paylaşır mısın?,,
27,Yıllık performans ortalaması nedir verebilir misin?,,
27,Yıllık performans ortalaması nedir söyler misin?,,
27,Yıllık performans ortalaması nedir belirtir misin?,,
27,Yıllık performans ortalaması nedir açıklayabilir misin?,,
27,Yıllık performans ortalaması nedir paylaşır mısın?,,
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı verebilir misin?,,
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı söyler misin?,,
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı belirtir misin?,,
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı açıklayabilir misin?,,
28,Makine yeşil seviyeden kırmızı seviyeye ne sıklıkla geçiş yaptı paylaşır mısın?,,
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin verebilir misin?,,
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin söyler misin?,,
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin belirtir misin?,,
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin açıklayabilir misin?,,
29,Son bir ay içinde makinenin hangi renk aralıklarında çalıştığını gösterebilir misin paylaşır mısın?,,
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi verebilir misin?,,
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi söyler misin?,,
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi belirtir misin?,,
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi açıklayabilir misin?,,
30,Makinenin en yüksek sayısal değerlerde alarm verdiği günler hangileriydi paylaşır mısın?,,
31,Makine iyileştirme önerileri verebilir misin?,,
31,Makine iyileştirme önerileri söyler misin?,,
31,Makine iyileştirme önerileri belirtir misin?,,
31,Makine iyileştirme önerileri açıklayabilir misin?,,
31,Makine iyileştirme önerileri paylaşır mısın?,,
32,Makinenin performansını ne etkiliyor olabilir verebilir misin?,,
32,Makinenin performansını ne etkiliyor olabilir söyler misin?,,
32,Makinenin performansını ne etkiliyor olabilir belirtir misin?,,
32,Makinenin performansını ne etkiliyor olabilir açıklayabilir misin?,,
32,Makinenin performansını ne etkiliyor olabilir paylaşır mısın?,,
